GAMECODE,GAME_ID,SEASON
20171229/HOUWAS,21700521,2017
20171229/ATLTOR,21700522,2017
20171229/BKNMIA,21700523,2017
20171229/INDCHI,21700524,2017
20171229/DALNOP,21700525,2017
20171229/MILOKC,21700526,2017
20171229/PHXSAC,21700527,2017
20171229/CHAGSW,21700528,2017
20171229/LACLAL,21700529,2017
20171230/SASDET,21700530,2017
20171230/MIAORL,21700531,2017
20171230/NYKNOP,21700532,2017
20171230/PORATL,21700533,2017
20171230/CLEUTA,21700534,2017
20171230/MEMGSW,21700535,2017
20171230/PHIDEN,21700536,2017
20171231/CHIWAS,21700537,2017
20171231/MININD,21700538,2017
20171231/BKNBOS,21700539,2017
20171231/LALHOU,21700540,2017
20171231/DALOKC,21700541,2017
20171231/CHALAC,21700542,2017
20171231/MEMSAC,21700543,2017
20171231/PHIPHX,21700544,2017
20180101/ORLBKN,21700545,2017
20180101/MILTOR,21700546,2017
20180101/PORCHI,21700547,2017
20180101/LALMIN,21700548,2017
20180102/PORCLE,21700549,2017
20180102/SASNYK,21700550,2017
20180102/ATLPHX,21700551,2017
20180102/CHASAC,21700552,2017
20180102/MEMLAC,21700553,2017
20180103/HOUORL,21700554,2017
20180103/SASPHI,21700555,2017
20180103/NYKWAS,21700556,2017
20180103/MINBKN,21700557,2017
20180103/DETMIA,21700558,2017
20180103/CLEBOS,21700559,2017
20180103/TORCHI,21700560,2017
20180103/INDMIL,21700561,2017
20180103/GSWDAL,21700562,2017
20180103/PHXDEN,21700563,2017
20180103/NOPUTA,21700564,2017
20180103/OKCLAL,21700565,2017
20180104/GSWHOU,21700566,2017
20180104/OKCLAC,21700567,2017
20180105/NYKMIA,21700568,2017
20180105/DETPHI,21700569,2017
20180105/MINBOS,21700570,2017
20180105/TORMIL,21700571,2017
20180105/CHIDAL,21700572,2017
20180105/PHXSAS,21700573,2017
20180105/UTADEN,21700574,2017
20180105/WASMEM,21700575,2017
20180105/ATLPOR,21700576,2017
20180105/CHALAL,21700577,2017
20180106/GSWLAC,21700578,2017
20180106/BOSBKN,21700579,2017
20180106/HOUDET,21700580,2017
20180106/CHIIND,21700581,2017
20180106/CLEORL,21700582,2017
20180106/MILWAS,21700583,2017
20180106/NOPMIN,21700584,2017
20180106/DENSAC,21700585,2017
20180107/UTAMIA,21700586,2017
20180107/NYKDAL,21700587,2017
20180107/OKCPHX,21700588,2017
20180107/SASPOR,21700589,2017
20180107/ATLLAL,21700590,2017
20180108/MILIND,21700591,2017
20180108/TORBKN,21700592,2017
20180108/HOUCHI,21700593,2017
20180108/CLEMIN,21700594,2017
20180108/DETNOP,21700595,2017
20180108/SASSAC,21700596,2017
20180108/DENGSW,21700597,2017
20180108/ATLLAC,21700598,2017
20180109/MIATOR,21700599,2017
20180109/POROKC,21700600,2017
20180109/ORLDAL,21700601,2017
20180109/SACLAL,21700602,2017
20180110/DALCHA,21700603,2017
20180110/MIAIND,21700604,2017
20180110/UTAWAS,21700605,2017
20180110/DETBKN,21700606,2017
20180110/CHINYK,21700607,2017
20180110/PORHOU,21700608,2017
20180110/NOPMEM,21700609,2017
20180110/ORLMIL,21700610,2017
20180110/OKCMIN,21700611,2017
20180110/ATLDEN,21700612,2017
20180110/LACGSW,21700613,2017
20180111/BOSPHI,21700614,2017
20180111/CLETOR,21700615,2017
20180111/LACSAC,21700616,2017
20180111/SASLAL,21700617,2017
20180112/UTACHA,21700618,2017
20180112/CLEIND,21700619,2017
20180112/ORLWAS,21700620,2017
20180112/BKNATL,21700621,2017
20180112/GSWMIL,21700622,2017
20180112/NYKMIN,21700623,2017
20180112/PORNOP,21700624,2017
20180112/MEMDEN,21700625,2017
20180112/HOUPHX,21700626,2017
20180113/LALDAL,21700627,2017
20180113/SACLAC,21700628,2017
20180113/OKCCHA,21700629,2017
20180113/BKNWAS,21700630,2017
20180113/GSWTOR,21700631,2017
20180113/DETCHI,21700632,2017
20180113/DENSAS,21700633,2017
20180114/MILMIA,21700634,2017
20180114/NOPNYK,21700635,2017
20180114/INDPHX,21700636,2017
20180114/PORMIN,21700637,2017
20180115/CHADET,21700638,2017
20180115/TORPHI,21700639,2017
20180115/MILWAS,21700640,2017
20180115/SASATL,21700641,2017
20180115/NYKBKN,21700642,2017
20180115/MIACHI,21700644,2017
20180115/LALMEM,21700645,2017
20180115/SACOKC,21700643,2017
20180115/GSWCLE,21700646,2017
20180115/INDUTA,21700647,2017
20180115/HOULAC,21700648,2017
20180116/MINORL,21700649,2017
20180116/NOPBOS,21700650,2017
20180116/DALDEN,21700651,2017
20180116/PHXPOR,21700652,2017
20180117/WASCHA,21700653,2017
20180117/NOPATL,21700654,2017
20180117/SASBKN,21700655,2017
20180117/DETTOR,21700656,2017
20180117/GSWCHI,21700657,2017
20180117/NYKMEM,21700658,2017
20180117/MIAMIL,21700659,2017
20180117/LALOKC,21700660,2017
20180117/UTASAC,21700661,2017
20180117/DENLAC,21700662,2017
20180118/PHIBOS,21700663,2017
20180118/ORLCLE,21700664,2017
20180118/MINHOU,21700665,2017
20180118/INDPOR,21700666,2017
20180119/SASTOR,21700667,2017
20180119/MIABKN,21700668,2017
20180119/WASDET,21700669,2017
20180119/SACMEM,21700670,2017
20180119/PHXDEN,21700671,2017
20180119/NYKUTA,21700672,2017
20180119/INDLAL,21700673,2017
20180120/OKCCLE,21700674,2017
20180120/CHIATL,21700675,2017
20180120/MIACHA,21700676,2017
20180120/MEMNOP,21700677,2017
20180120/MILPHI,21700678,2017
20180120/GSWHOU,21700679,2017
20180120/TORMIN,21700680,2017
20180120/LACUTA,21700681,2017
20180120/DALPOR,21700682,2017
20180121/ORLBOS,21700683,2017
20180121/NYKLAL,21700684,2017
20180121/BKNDET,21700685,2017
20180121/INDSAS,21700686,2017
20180122/SACCHA,21700687,2017
20180122/UTAATL,21700688,2017
20180122/MIAHOU,21700689,2017
20180122/PHIMEM,21700690,2017
20180122/PHXMIL,21700691,2017
20180122/CHINOP,21700692,2017
20180122/WASDAL,21700693,2017
20180122/PORDEN,21700694,2017
20180122/MINLAC,21700695,2017
20180123/SACORL,21700696,2017
20180123/BKNOKC,21700697,2017
20180123/CLESAS,21700698,2017
